ticker,feature_config,model,ic,diracc,mae,rmse
XLK,lags_only,ridge,0.0375,0.5946,0.0169,0.0228
XLK,lags_only,attention,0.0721,0.5668,0.0172,0.0234
XLK,lags_and_pvol,ridge,0.0124,0.5859,0.0171,0.0231
XLK,lags_and_pvol,attention,0.036,0.5103,0.0183,0.0248
XLP,lags_only,ridge,-0.0122,0.5588,0.0116,0.0161
XLP,lags_only,attention,-0.0055,0.5,0.0121,0.0165
XLP,lags_and_pvol,ridge,0.0049,0.5564,0.0116,0.0161
XLP,lags_and_pvol,attention,-0.0346,0.4674,0.013,0.0177
XLV,lags_only,ridge,0.0198,0.5692,0.0153,0.0206
XLV,lags_only,attention,0.0338,0.5421,0.0165,0.0221
XLV,lags_and_pvol,ridge,-0.0806,0.5556,0.0154,0.0208
XLV,lags_and_pvol,attention,-0.0014,0.5103,0.017,0.0229
XLF,lags_only,ridge,0.016,0.5342,0.0172,0.0237
XLF,lags_only,attention,0.0119,0.5167,0.0181,0.0249
XLF,lags_and_pvol,ridge,-0.0154,0.5334,0.0174,0.0239
XLF,lags_and_pvol,attention,-0.0401,0.5143,0.0192,0.0267
XLE,lags_only,ridge,-0.0179,0.4881,0.0222,0.0297
XLE,lags_only,attention,0.0601,0.5469,0.0226,0.0306
XLE,lags_and_pvol,ridge,-0.0234,0.4992,0.0222,0.0297
XLE,lags_and_pvol,attention,0.033,0.4952,0.0229,0.0302
XLI,lags_only,ridge,0.0074,0.5525,0.0159,0.0217
XLI,lags_only,attention,0.0763,0.5517,0.0161,0.0221
XLI,lags_and_pvol,ridge,0.0286,0.535,0.016,0.0217
XLI,lags_and_pvol,attention,0.0271,0.5246,0.0169,0.023
XLY,lags_only,ridge,-0.0298,0.5755,0.0149,0.0206
XLY,lags_only,attention,0.0533,0.5461,0.0153,0.0211
XLY,lags_and_pvol,ridge,-0.0442,0.57,0.015,0.0207
XLY,lags_and_pvol,attention,0.0527,0.5231,0.0158,0.0219
XLU,lags_only,ridge,0.0297,0.5453,0.0143,0.0187
XLU,lags_only,attention,-0.0705,0.4809,0.0156,0.02
XLU,lags_and_pvol,ridge,0.0341,0.5397,0.0143,0.0187
XLU,lags_and_pvol,attention,-0.0775,0.4618,0.0163,0.0207
XLB,lags_only,ridge,-0.0181,0.5326,0.0173,0.0238
XLB,lags_only,attention,-0.0055,0.5048,0.0188,0.0256
XLB,lags_and_pvol,ridge,-0.0041,0.5151,0.0174,0.0238
XLB,lags_and_pvol,attention,0.0457,0.4992,0.0183,0.0252
XLRE,lags_only,ridge,-0.0015,0.5184,0.0153,0.0202
XLRE,lags_only,attention,0.0545,0.5203,0.0169,0.0224
XLRE,lags_and_pvol,ridge,0.0441,0.5234,0.0152,0.0201
XLRE,lags_and_pvol,attention,0.0342,0.5058,0.0193,0.0343
XLC,lags_only,ridge,0.0515,0.4466,0.0194,0.0249
XLC,lags_only,attention,0.1417,0.5393,0.0223,0.0287
XLC,lags_and_pvol,ridge,-0.001,0.4368,0.0191,0.025
XLC,lags_and_pvol,attention,0.0578,0.5201,0.0262,0.0371
