ticker,config,ic,diracc,mae,rmse
XLK,lags_only,0.0459,0.5731,0.017,0.0229
XLK,lags_and_p_vol,0.0258,0.5517,0.0177,0.0242
XLP,lags_only,0.0159,0.5509,0.0117,0.0162
XLP,lags_and_p_vol,-0.0069,0.5397,0.0118,0.0163
XLV,lags_only,0.0339,0.5477,0.0153,0.0207
XLV,lags_and_p_vol,0.0197,0.5429,0.0158,0.0213
XLF,lags_only,0.0145,0.5318,0.0173,0.0238
XLF,lags_and_p_vol,0.0057,0.5191,0.0178,0.0246
XLE,lags_only,-0.0141,0.4865,0.0223,0.0298
XLE,lags_and_p_vol,-0.0386,0.4944,0.0229,0.0303
XLI,lags_only,0.0105,0.5334,0.0161,0.0219
XLI,lags_and_p_vol,0.0174,0.5215,0.0164,0.0223
XLY,lags_only,-0.0216,0.5572,0.0151,0.0207
XLY,lags_and_p_vol,-0.0305,0.531,0.0154,0.0212
XLU,lags_only,0.0406,0.5429,0.0144,0.0187
XLU,lags_and_p_vol,0.0442,0.527,0.0144,0.0188
XLB,lags_only,-0.0094,0.5231,0.0175,0.0241
XLB,lags_and_p_vol,0.0101,0.5119,0.0178,0.0242
XLRE,lags_only,0.0463,0.5087,0.0159,0.0211
XLRE,lags_and_p_vol,0.0575,0.5089,0.019,0.0339
XLC,lags_only,0.0441,0.4607,0.0225,0.0293
XLC,lags_and_p_vol,-0.1656,0.3728,0.0274,0.0356
