ticker,config,ic,diracc,mae,rmse
XLK,lags_only,0.0098,0.5541,0.018,0.0245
XLK,lags_and_p_vol,-0.0406,0.5223,0.0182,0.0244
XLP,lags_only,0.073,0.5175,0.0127,0.0173
XLP,lags_and_p_vol,0.0403,0.5246,0.0127,0.0174
XLV,lags_only,0.0222,0.5167,0.0171,0.0227
XLV,lags_and_p_vol,-0.0475,0.5095,0.0173,0.0234
XLF,lags_only,-0.0022,0.5,0.0184,0.025
XLF,lags_and_p_vol,-0.0554,0.5167,0.0191,0.0257
XLE,lags_only,-0.0458,0.4801,0.024,0.0319
XLE,lags_and_p_vol,0.0028,0.4928,0.0234,0.0309
XLI,lags_only,0.0035,0.5223,0.0165,0.0226
XLI,lags_and_p_vol,-0.0146,0.4952,0.017,0.023
XLY,lags_only,-0.0018,0.535,0.0155,0.0212
XLY,lags_and_p_vol,-0.0608,0.5,0.0163,0.0222
XLU,lags_only,-0.0043,0.5095,0.0157,0.0204
XLU,lags_and_p_vol,0.0167,0.5231,0.0152,0.0201
XLB,lags_only,-0.0282,0.4889,0.0186,0.0254
XLB,lags_and_p_vol,-0.0278,0.4706,0.0193,0.0259
